Run,BioProject,BioSample,DATASTORE filetype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Reef_Site,Library Name,Organism,Sample Name
SRR28497652,PRJNA1093451,SAMN40654729,"fastq,sra,run.zq",SRX24099382,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A70,Agaricia agaricites,A70.fastq
SRR28497653,PRJNA1093451,SAMN40654728,"sra,fastq,run.zq",SRX24099381,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A69,Agaricia agaricites,A69.fastq
SRR28497654,PRJNA1093451,SAMN40654620,"fastq,sra,run.zq",SRX24099380,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O14,Orbicella faveolata,O14.fastq
SRR28497655,PRJNA1093451,SAMN40654727,"sra,run.zq,fastq",SRX24099379,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A68,Agaricia agaricites,A68.fastq
SRR28497656,PRJNA1093451,SAMN40654726,"run.zq,sra,fastq",SRX24099378,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A67,Agaricia agaricites,A67.fastq
SRR28497657,PRJNA1093451,SAMN40654725,"run.zq,fastq,sra",SRX24099377,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A66,Agaricia agaricites,A66.fastq
SRR28497658,PRJNA1093451,SAMN40654724,"run.zq,fastq,sra",SRX24099376,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A64,Agaricia agaricites,A64.fastq
SRR28497659,PRJNA1093451,SAMN40654723,"fastq,sra",SRX24099375,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A63,Agaricia agaricites,A63.fastq
SRR28497660,PRJNA1093451,SAMN40654722,"run.zq,fastq,sra",SRX24099374,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A62,Agaricia agaricites,A62.fastq
SRR28497661,PRJNA1093451,SAMN40654721,"run.zq,sra,fastq",SRX24099373,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A61,Agaricia agaricites,A61.fastq
SRR28497662,PRJNA1093451,SAMN40654720,"sra,run.zq,fastq",SRX24099372,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A60,Agaricia agaricites,A60.fastq
SRR28497663,PRJNA1093451,SAMN40654719,"run.zq,fastq,sra",SRX24099371,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A59,Agaricia agaricites,A59.fastq
SRR28497664,PRJNA1093451,SAMN40654718,"sra,fastq",SRX24099370,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A58,Agaricia agaricites,A58.fastq
SRR28497665,PRJNA1093451,SAMN40654619,"sra,fastq,run.zq",SRX24099369,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O13,Orbicella faveolata,O13.fastq
SRR28497666,PRJNA1093451,SAMN40654717,"fastq,sra,run.zq",SRX24099368,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A57,Agaricia agaricites,A57.fastq
SRR28497667,PRJNA1093451,SAMN40654716,"run.zq,sra,fastq",SRX24099367,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A56,Agaricia agaricites,A56.fastq
SRR28497668,PRJNA1093451,SAMN40654715,"run.zq,sra,fastq",SRX24099366,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A55,Agaricia agaricites,A55.fastq
SRR28497669,PRJNA1093451,SAMN40654714,"sra,fastq,run.zq",SRX24099365,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A54,Agaricia agaricites,A54.fastq
SRR28497670,PRJNA1093451,SAMN40654713,"fastq,sra,run.zq",SRX24099364,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A53,Agaricia agaricites,A53.fastq
SRR28497671,PRJNA1093451,SAMN40654712,"sra,run.zq,fastq",SRX24099363,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A52,Agaricia agaricites,A52.fastq
SRR28497672,PRJNA1093451,SAMN40654711,"run.zq,sra,fastq",SRX24099362,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A51,Agaricia agaricites,A51.fastq
SRR28497673,PRJNA1093451,SAMN40654710,"fastq,sra",SRX24099361,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A50,Agaricia agaricites,A50.fastq
SRR28497674,PRJNA1093451,SAMN40654709,"sra,run.zq,fastq",SRX24099360,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A48,Agaricia agaricites,A48.fastq
SRR28497675,PRJNA1093451,SAMN40654708,"sra,fastq,run.zq",SRX24099359,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A47,Agaricia agaricites,A47.fastq
SRR28497676,PRJNA1093451,SAMN40654618,"run.zq,fastq,sra",SRX24099358,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O12,Orbicella faveolata,O12.fastq
SRR28497677,PRJNA1093451,SAMN40654609,"sra,fastq,run.zq",SRX24099357,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O2,Orbicella faveolata,O2.fastq
SRR28497678,PRJNA1093451,SAMN40654608,"fastq,sra,run.zq",SRX24099356,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O1,Orbicella faveolata,O1.fastq
